f6e013f5-ed7d-4691-897f-04da0b2037d1	a4ba20f1-94c1-4da5-974f-72f3389af6f0	01cae6dd-3b93-4abd-9f17-5fbc6a82863e	1d949e2f-8bdb-48b7-bcf5-171c37d9ad66	91cf56c5-dc13-4142-bed9-b9c342aec504	529f3a3a-5ef3-495d-93af-4aa316b2cbf4	4c090804-bb5e-4935-a9bc-85daf08dab41	ea26a9a5-7f76-4e80-ac47-2d2dee95a8e7	f0f57afb-d1d2-4de1-b05b-8306ca7ef9a5	3fa1e12a-e500-4478-8714-1581df255bb4	1e626f8b-ce4e-4a6a-ae29-82e7ec86b8b8	54e030ee-294e-4eea-a177-0d3cbc65efd5	bfede8e1-e9fd-434f-9f74-7b1cd424edd7	3dfecd3b-2532-4ca8-ac85-63465dd3e03e	d2b9638a-8c15-4d1d-b5cd-3efeeeed0f2f	631e73ff-42b9-47ca-b2a0-8dcc7558af6c	6813c146-ca62-4ff7-9add-01d23ccbeff0	6d7cb714-e814-458b-82b4-f83edfe4e901	25419c44-26ba-4084-9e13-3303fca5bb1a	ba26be3f-c2d9-4103-96e6-eacc0ff75afd	265da01f-bce1-4735-8184-43f42ba5f34b	985f49c5-a0d2-428d-98f4-b458b0c2c0da	ae015e92-34c1-45a4-818e-c5bc6d1100c9	074be6f7-95e8-4874-a959-f6ea3c4f9a57	e66fe6d2-f209-46d6-bee7-ac23ba1dda5f	76c63789-765d-4413-a79f-a1762baa2627	1a5cec06-30f2-4b70-9da0-ddfe28efcaea	4509ee29-d50a-493e-94bf-ac283f46c0dc
8821502.865048844	6839663.543719031	7969331.429472907	5545898.807317402	5801156.284110096	7223384.133207106	7062939.07763466	6549107.073744653	6953832.148188672	7881271.986059042	9337746.830844052	6818114.545375615	7419577.340582526	6019276.835842364	7227109.502617296	9163085.722487116	6277678.279940412	6905448.922419398	7389180.783357564	7746194.928105091	5815635.809705481	5450768.708960504	6641226.092859929	7788543.305600304	8813240.708986795	8024766.311768536	6513620.274929856	6792761.416034425
14493862.36005032	10327815.952091308	14195919.682757383	9546104.794337796	11252246.6127953	11269524.277596192	13467892.63195617	10398725.710005919	10760435.134169074	11253221.178066129	12612852.755955247	12956109.712644244	15044430.912110416	10963242.705609435	14915263.480459783	15963224.152523246	11313642.774032634	11294173.128848055	11925247.624877298	12866018.00004973	8583907.807204762	10365490.073663995	9835585.70959158	11798914.464639602	11302310.082730325	11440174.957093647	8700878.162274485	12723876.160673104
16497.5480340048	9839.6763501287	16722.9968401441	10041.9701390048	11791.1460596264	10182.8064812826	15102.1164644454	9908.2138225367	12999.4820000619	12161.1689097548	10869.7486275467	14165.3273707021	16217.339101688	11759.9944000837	19805.5755986684	17905.3613882974	13224.5907010764	12438.0436131163	13583.3341597725	15585.9435287198	8060.5248951704	9673.7309142612	10197.2817665436	12026.7438345278	11458.5330866169	12393.7019140441	7483.477663439	12627.8770926563
16182.5426887091	10189.1839607335	15713.6011203619	10502.7896730828	11747.4340425333	11005.9737138271	14704.1945297729	7077.5655413178	8055.5541383941	8161.6851371551	9876.3639537848	7561.1168198664	7468.8995283102	10972.3523276559	19438.4279475084	17504.3398577963	13512.632391754	12929.0206885635	13290.3208871027	14301.688212219	7542.3969454742	6916.1151822722	8213.0022792563	8687.0069584299	9866.8058943786	8427.706023266	7607.7828430898	7943.3545138333
15940.3509300092	12182.2522351103	15576.9943015897	9864.5813920583	12691.2362200305	13173.2676802376	14765.8050554079	9914.2993776478	10984.552033526	11372.4297167728	14181.043639644	13038.3863778965	14524.2611246322	10787.5079920547	11482.2729032716	14476.1359731593	7700.1964965023	11570.8033527829	12372.3598255893	13584.8396351264	8301.1176399038	9658.8721924808	8568.0335646256	11862.3226500615	11660.749833025	11616.1338412017	9344.8891471096	11042.4007069944
15634.3578389357	11106.870891174	16606.4768195578	10327.1449520454	13521.6518318547	12122.272742813	16359.0373119312	10005.6853455299	12452.4658254441	12113.9349719365	12570.8199826482	13796.6508399468	16565.3333568434	13421.1259767537	21594.7000020161	19967.7602484092	15158.1763351202	12543.2618702368	12986.8853111716	15817.7134806426	8526.0864111106	9745.4325534248	10104.5482376594	11948.8945124005	12188.2897489634	12873.6574711022	8463.5764524976	12902.5734368782
15634.3578389357	11106.870891174	16606.4768195578	10327.1449520454	13521.6518318547	12122.272742813	16359.0373119312	10005.6853455299	12452.4658254441	12113.9349719365	12570.8199826482	13796.6508399468	16565.3333568434	13421.1259767537	21594.7000020161	19967.7602484092	15158.1763351202	12543.2618702368	12986.8853111716	15817.7134806426	8526.0864111106	9745.4325534248	10104.5482376594	11948.8945124005	12188.2897489634	12873.6574711022	8463.5764524976	12902.5734368782
15634.3578389357	11106.870891174	16606.4768195578	10327.1449520454	13521.6518318547	12122.272742813	16359.0373119312	10005.6853455299	12452.4658254441	12113.9349719365	12570.8199826482	13796.6508399468	16565.3333568434	13421.1259767537	21594.7000020161	19967.7602484092	15158.1763351202	12543.2618702368	12986.8853111716	15817.7134806426	8526.0864111106	9745.4325534248	10104.5482376594	11948.8945124005	12188.2897489634	12873.6574711022	8463.5764524976	12902.5734368782
14706.3272097196	8687.7630804407	15372.3785913437	8906.0739184418	11509.5653237457	9602.8620903898	14842.5041444343	9682.1454974298	13159.6189596356	11920.65292074	9659.2594707684	13779.8314093406	15940.7187681847	11392.6741171059	20348.3706656221	17717.2654324837	13563.7544996095	11114.8787830214	11961.1591978289	14167.7782927177	7343.9550025231	9695.4623253698	10067.940482457	11130.3824706634	10521.0395631509	12014.011135205	6494.2342542036	12547.478247169
13538.0372326845	8043.3227303695	13521.2175605637	8593.6336289942	11112.1258827089	8669.8999283596	13129.2919301261	7762.6691457138	9286.4624787845	9217.0369992534	8884.8405025967	12427.3992365123	14975.4382332461	9553.732576961	18480.9237726312	14371.8470274994	12254.1449383455	10067.4376880527	11172.9542692376	13427.7238084863	5842.2020125505	7462.4944431976	7204.1113011657	8968.3162886944	8609.1330731912	9588.217030387	5576.6219989426	10786.5689302429
