feature	metadata	value	name	coef	null_hypothesis	stderr	pval_individual	qval_individual	pval_joint	qval_joint	error	model	N	N_not_zero
THISYNARA-PWY: superpathway of thiamine diphosphate biosynthesis III (eukaryotes)	donor_microbiome_type	WildR	donor_microbiome_typeWildR	1.9856743673214547	-0.0790482208289689	0.13923076588217162	2.7937874236272364e-11	2.4417702082502046e-8	2.7937874236272364e-11	1.8606624241357395e-8	NA	linear	28	28
PWY-5121: superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	donor_microbiome_type	WildR	donor_microbiome_typeWildR	3.140565677075889	-0.0790482208289689	0.275399500544879	7.441769422911193e-11	3.2520532378121914e-8	7.441769422911193e-11	2.4781092178294273e-8	NA	linear	28	28
PWY-7400: L-arginine biosynthesis IV (archaebacteria)	donor_microbiome_type	WildR	donor_microbiome_typeWildR	3.663731846403488	-0.0790482208289689	0.3353217231658678	2.9495861308959093e-10	8.593127594676749e-8	2.9495861308959093e-10	6.548081210588919e-8	NA	linear	28	26
PWY-7392: taxadiene biosynthesis (engineered)	donor_microbiome_type	WildR	donor_microbiome_typeWildR	5.688965571745628	-0.0790482208289689	0.4658878241107277	2.100106888391906e-8	4.588733551136315e-6	2.100106888391906e-8	3.4966779691725236e-6	NA	linear	28	16
GLUDEG-I-PWY: GABA shunt	donor_microbiome_type	WildR	donor_microbiome_typeWildR	4.492244737388393	-0.0790482208289689	0.5474152528731141	4.2188276427879146e-8	5.267507656852339e-6	4.2188276427879146e-8	4.013913157281073e-6	NA	linear	28	25
PWY-6749: CMP-legionaminate biosynthesis I	donor_microbiome_type	WildR	donor_microbiome_typeWildR	-3.4174012490373133	-0.0790482208289689	0.40371327838173643	3.703530748744299e-8	5.267507656852339e-6	3.703530748744299e-8	4.013913157281073e-6	NA	linear	28	27
PWY0-162: superpathway of pyrimidine ribonucleotides de novo biosynthesis	donor_microbiome_type	WildR	donor_microbiome_typeWildR	-2.131955660848108	-0.0790482208289689	0.23104912450947954	3.085374444822264e-8	5.267507656852339e-6	3.085374444822264e-8	4.013913157281073e-6	NA	linear	28	28
P42-PWY: incomplete reductive TCA cycle	donor_microbiome_type	WildR	donor_microbiome_typeWildR	1.8898147159687415	-0.0790482208289689	0.22995388617233925	5.6698468142712954e-8	6.19430764459139e-6	5.6698468142712954e-8	4.7201474728808535e-6	NA	linear	28	28
PWY-6859: all-trans-farnesol biosynthesis	donor_microbiome_type	WildR	donor_microbiome_typeWildR	6.345354412211315	-0.0790482208289689	0.5887188330366641	8.162645703801985e-8	7.926835939025483e-6	8.162645703801985e-8	6.040357820813469e-6	NA	linear	28	16
POLYISOPRENSYN-PWY: polyisoprenoid biosynthesis (E. coli)	donor_microbiome_type	WildR	donor_microbiome_typeWildR	5.980621453223256	-0.0790482208289689	0.5703966563863939	1.1429219926029077e-7	9.784382151681566e-6	1.1429219926029077e-7	7.455833538924398e-6	NA	linear	28	16
PWY-5022: 4-aminobutanoate degradation V	donor_microbiome_type	WildR	donor_microbiome_typeWildR	4.01070408897958	-0.0790482208289689	0.5211312306258996	1.231443977900426e-7	9.784382151681566e-6	1.231443977900426e-7	7.455833538924398e-6	NA	linear	28	25
